Fecha,Resultado,Federal,U de G,Privado,Rapidas,
11/07/2020,Descartados,"18,915","12,197","7,991","18,422",
11/07/2020,Sospechosos,"2,560",91,Na,Na,
12/07/2020,Confirmados,"9,201","3,191","4,604","1,972",
12/07/2020,Descartados,"19,151","12,197","8,620","18,431",
12/07/2020,Sospechosos,"2,307",197,Na,Na,
13/07/2020,Confirmados,"9,327","3,251","4,722","2,010",
13/07/2020,Descartados,"19,305","12,251","8,848","18,683",
13/07/2020,Sospechosos,"2,530",92,Na,Na,
14/07/2020,Confirmados,"9,511","3,365","4,869","2,067",
14/07/2020,Descartados,"19,513","12,460","9,095","18,996",
14/07/2020,Sospechosos,"2,863",102,Na,Na,
15/07/2020,Confirmados,"9,760","3,451","4,971","2,096",
15/07/2020,Descartados,"19,653","12,677","9,265","19,207",
15/07/2020,Sospechosos,"2,945",138,Na,Na,
16/07/2020,Confirmados,"9,921","3,582","5,354","2,176",
16/07/2020,Descartados,"19,906","12,871","10,142","19,541",
16/07/2020,Sospechosos,"3,056",128,Na,Na,
17/07/2020,Confirmados,"10,075","3,697","5,521","2,248",
17/07/2020,Descartados,"20,139","13,094","10,302","19,763",
17/07/2020,Sospechosos,"3,302",100,Na,Na,
18/07/2020,Confirmados,"10,341","3,820","5,606","2,264",
18/07/2020,Descartados,"20,372","13,256","10,484","19,801",
18/07/2020,Sospechosos,"3,391",97,Na,Na,
19/07/2020,Confirmados,"10,508","3,879","5,606","2,271",
19/07/2020,Descartados,"20,566","13,326","10,484","19,835",
19/07/2020,Sospechosos,"3,358",95,Na,Na,
20/07/2020,Confirmados,"10,642","3,887","5,782","2,391",
20/07/2020,Descartados,"20,772","13,326","10,738","20,097",
20/07/2020,Sospechosos,"3,271",95,Na,Na,
21/07/2020,Confirmados,"10,827","4,010","5,979","2,580",
21/07/2020,Descartados,"20,963","13,534","11,407","20,565",
21/07/2020,Sospechosos,"3,633",96,Na,Na,
22/07/2020,Confirmados,"11,041","4,142","6,116","2,712",
22/07/2020,Descartados,"21,221","13,706","11,677","20,935",
22/07/2020,Sospechosos,"3,842",98,Na,Na,
23/07/2020,Confirmados,"11,473","4,264","6,116","2,782",
23/07/2020,Descartados,"21,824","13,865","12,064","21,393",
23/07/2020,Sospechosos,"3,356",109,Na,Na,
24/07/2020,Confirmados,"11,753","4,364","6,308","2,852",
24/07/2020,Descartados,"22,146","14,061","12,286","21,582",
24/07/2020,Sospechosos,"3,257",128,Na,Na,
25/07/2020,Confirmados,"11,904","4,544","6,491","2,936",
25/07/2020,Descartados,"22,395","14,170","12,604","21,822",
25/07/2020,Sospechosos,"3,276",135,Na,Na,
26/07/2020,Confirmados,"12,121","4,615","6,706","3,091",
26/07/2020,Descartados,"22,653","14,216","13,053","22,207",
26/07/2020,Sospechosos,"3,046",133,Na,Na,
27/07/2020,Confirmados,"12,235","4,626","7,068","3,182",
27/07/2020,Descartados,"22,865","14,216","13,734","22,615",
27/07/2020,Sospechosos,"2,922",133,Na,Na,
28/07/2020,Confirmados,"12,471","4,742","7,152","3,326",
28/07/2020,Descartados,"23,115","14,446","14,095","22,962",
28/07/2020,Sospechosos,"3,005",111,Na,Na,
29/07/2020,Confirmados,"12,568","4,904","7,334","3,549",
29/07/2020,Descartados,"23,202","14,587","14,458","23,549",
29/07/2020,Sospechosos,"3,125",121,Na,Na,
30/07/2020,Confirmados,"12,819","5,083","7,463","3,590",
30/07/2020,Descartados,"23,382","14,830","14,873","23,909",
30/07/2020,Sospechosos,"3,269",116,Na,Na,
31/07/2020,Confirmados,"13,061","5,276","7,603","3,690",
31/07/2020,Descartados,"23,616","15,036","15,220","24,422",
31/07/2020,Sospechosos,"3,278",121,Na,Na,
01/08/2020,Confirmados,"13,313","5,426","7,812","3,842",
01/08/2020,Descartados,"23,882","15,259","15,747","24,553",
01/08/2020,Sospechosos,"3,164",155,Na,Na,
